name,price,old_price,discount,seller
Dry Fruit Kulfi Ice Cream,₹69.3,₹99,( 30% OFF ),N/A
Gujiya (Pack Of 2),₹69.3,₹99,( 30% OFF ),N/A
Royal Paneer Daawat Combo (Serves 2),₹454.3,₹649,( 30% OFF ),N/A
Dilkhush Narm Kulcha (Pack Of 4),₹118.3,₹169,( 30% OFF ),N/A
Murgh-e-Haleem & Bread Combo,₹279.3,₹399,( 30% OFF ),N/A
Mini Kebabs With Haleem Combo (Serves 1-2),₹300.3,₹429,( 30% OFF ),N/A
Subz-e-Biryani (Dum Veg Biryani - Serves 4-5),₹979.3,"₹1,399",( 30% OFF ),N/A
Murgh Tikka Biryani (Chicken Tikka Dum Biryani - Serves 2),₹685.3,₹979,( 30% OFF ),N/A
Aloo Chaap Tikki,₹97.3,₹139,( 30% OFF ),N/A
Strawberry Ice Cream,₹69.3,₹99,( 30% OFF ),N/A
Chocolate Cheesecake Slice,₹139.3,₹199,( 30% OFF ),N/A
Gulab Jamun Box (Pack Of 10),₹220.5,₹315,( 30% OFF ),N/A
Mint Raita (80 Gm),₹27.3,₹39,( 30% OFF ),N/A
Durbari Tawa Paratha (Pack Of 3),₹62.3,₹89,( 30% OFF ),N/A
Toofani Non-Veg Biryani Combo (Serves 1),₹314.3,₹449,( 30% OFF ),N/A
Gosht-e-Haleem & Bread Combo,₹321.3,₹459,( 30% OFF ),N/A
Taj-e-Khumb Biryani (Mushroom Biryani - Serves 4-5),"₹1,049.3","₹1,499",( 30% OFF ),N/A
"Dum Gosht Biryani (Dum Mutton Biryani, Boneless - Serves 4-5)","₹1,399.3","₹1,999",( 30% OFF ),N/A
Taj-e-Khumb Biryani (Mushroom Biryani - Serves 2),₹545.3,₹779,( 30% OFF ),N/A
Zaikedaar Paneer Biryani (Paneer Dum Biryani - Serves 2),₹559.3,₹799,( 30% OFF ),N/A
Dumdaar Hyderabadi Rice,₹139.3,₹199,( 30% OFF ),N/A
Beetroot & Peanut Kebab (6 Pcs) & Hara Bhara Kebab (6 Pcs) Combo,₹342.3,₹489,( 30% OFF ),N/A
Chicken Tikka Kathi Roll,₹181.3,₹259,( 30% OFF ),N/A
Gulab Jamun - Pack Of 1,₹27.3,₹39,( 30% OFF ),N/A
Jeera Masala Soda (350 ML),₹39.9,₹57,( 30% OFF ),N/A
Mughlai Gravy,₹34.3,₹49,( 30% OFF ),N/A
Shaandaar Murgh Curries Combo (Serves 2),₹640.5,₹915,( 30% OFF ),N/A
Royal Murgh Curry Combo (Serves 1),₹258.3,₹369,( 30% OFF ),N/A
Murgh Haleem (Chicken Haleem - 1200gms),₹678.3,₹969,( 30% OFF ),N/A
Gosht Haleem (Mutton Haleem),₹279.3,₹399,( 30% OFF ),N/A
Tokhm-e-Biryani (Dum Egg Biryani - Serves 4-5),"₹1,084.3","₹1,549",( 30% OFF ),N/A
Lazeez Bhuna Murgh Biryani (Dum Chicken Biryani - Serves 4-5),"₹1,119.3","₹1,599",( 30% OFF ),N/A
Subz-e-Biryani (Dum Veg Biryani - Serves 2),₹524.3,₹749,( 30% OFF ),N/A
Murgh Seekh Kebab,₹150.5,₹215,( 30% OFF ),N/A
Murgh Kefta (Chicken Meatball Kebab),₹111.3,₹159,( 30% OFF ),N/A
Vanilla Ice Cream,₹69.3,₹99,( 30% OFF ),N/A
Gajar Halwa (80 Gm),₹62.3,₹89,( 30% OFF ),N/A
Rivayati Paneer Curry Combo (Serves 2),₹423.5,₹605,( 30% OFF ),N/A
Nafees Laccha Paratha (Pack Of 4),₹118.3,₹169,( 30% OFF ),N/A
Murgh Haleem (Chicken Haleem),₹230.3,₹329,( 30% OFF ),N/A
Murgh Tikka Biryani (Chicken Tikka Dum Biryani - Serves 4-5),"₹1,259.3","₹1,799",( 30% OFF ),N/A
Paneer Subz Biryani (Paneer Dum And Veg Biryani - Serves 2),₹538.3,₹769,( 30% OFF ),N/A
Gosht Seekh Kebab (Mutton Seekh Kebab),₹230.3,₹329,( 30% OFF ),N/A
Gosht-E-Galouti Kebab (Mutton Galauti Kebab),₹209.3,₹299,( 30% OFF ),N/A
Falafel-E-Khaas,₹83.3,₹119,( 30% OFF ),N/A
Belgian Chocolate Ice Cream,₹69.3,₹99,( 30% OFF ),N/A
Gulab Jamun (Pack Of 2),₹45.5,₹65,( 30% OFF ),N/A
Shaandaar Paneer Curries Combo (Serves 2),₹615.3,₹879,( 30% OFF ),N/A
Nafees Laccha Paratha (Pack Of 2),₹62.3,₹89,( 30% OFF ),N/A
Lazeez Bhuna Murgh Biryani & Murgh-e-Haleem Combo,₹454.3,₹649,( 30% OFF ),N/A
